Palabra en Inglés,Categoría Gramatical,Traducción
Ubiquitous,Adjetivos (Adjectives),Omnipresente
Ephemeral,Adjetivos (Adjectives),Efímero
Obsolete,Adjetivos (Adjectives),Obsoleto
Pragmatic,Adjetivos (Adjectives),Pragmático
Ambiguous,Adjetivos (Adjectives),Ambiguo
Meticulous,Adjetivos (Adjectives),Meticuloso
Resilient,Adjetivos (Adjectives),Resiliente
Tangible,Adjetivos (Adjectives),Tangible
Feasible,Adjetivos (Adjectives),Factible / Viable
Plausible,Adjetivos (Adjectives),Plausible / Creíble
Intricate,Adjetivos (Adjectives),Intrincado / Complejo
Profound,Adjetivos (Adjectives),Profundo
Lucrative,Adjetivos (Adjectives),Lucrativo
Detrimental,Adjetivos (Adjectives),Perjudicial
Pivotal,Adjetivos (Adjectives),Crucial / Fundamental
Superfluous,Adjetivos (Adjectives),Superfluo / Innecesario
Inevitable,Adjetivos (Adjectives),Inevitable
Subtle,Adjetivos (Adjectives),Sutil
Cohesive,Adjetivos (Adjectives),Cohesivo
Elusive,Adjetivos (Adjectives),Elusivo / Evasivo
Mitigate,Verbos (Verbs),Mitigar / Atenuar
Implement,Verbos (Verbs),Implementar
Facilitate,Verbos (Verbs),Facilitar
Ascertain,Verbos (Verbs),Averiguar / Constatar
Deteriorate,Verbos (Verbs),Deteriorarse
Alleviate,Verbos (Verbs),Aliviar
Exacerbate,Verbos (Verbs),Exacerbar / Agravar
Scrutinize,Verbos (Verbs),Escrutar / Examinar
Elicit,Verbos (Verbs),Suscitar / Extraer (información)
Foster,Verbos (Verbs),Fomentar / Promover
Hinder,Verbos (Verbs),Obstaculizar / Entorpecer
Bolster,Verbos (Verbs),Reforzar / Respaldar
Delineate,Verbos (Verbs),Delinear / Describir
Corroborate,Verbos (Verbs),Corroborar
Reiterate,Verbos (Verbs),Reiterar
Pioneer,Verbos (Verbs),Ser pionero en / Iniciar
Disseminate,Verbos (Verbs),Diseminar / Difundir
Appease,Verbos (Verbs),Apaciguar
Endeavor,Verbos (Verbs),Esforzarse / Emprender
Pertain,Verbos (Verbs),Corresponder / Pertenecer
Bring about,Phrasal Verbs (Avanzados),Provocar / Causar
Carry out,Phrasal Verbs (Avanzados),Llevar a cabo
Come across,Phrasal Verbs (Avanzados),Toparse con / Dar la impresión
Draw up,Phrasal Verbs (Avanzados),Redactar (un documento)
Fall through,Phrasal Verbs (Avanzados),Fracasar / Quedar en nada
Look into,Phrasal Verbs (Avanzados),Investigar
Make up for,Phrasal Verbs (Avanzados),Compensar
Put off,Phrasal Verbs (Avanzados),Posponer
Set out,Phrasal Verbs (Avanzados),Tener la intención de / Partir
Take over,Phrasal Verbs (Avanzados),Asumir el control
Turn out,Phrasal Verbs (Avanzados),Resultar ser
Rule out,Phrasal Verbs (Avanzados),Descartar
Boil down to,Phrasal Verbs (Avanzados),Reducirse a / Resumirse en
Catch on,Phrasal Verbs (Avanzados),Ponerse de moda / Entender
Phase out,Phrasal Verbs (Avanzados),Eliminar gradualmente
By and large,Idioms y Expresiones,En términos generales
Out of the blue,Idioms y Expresiones,De la nada / Inesperadamente
A blessing in disguise,Idioms y Expresiones,Un mal que por bien no venga
To cut corners,Idioms y Expresiones,Hacer las cosas por el camino fácil (mal)
To hit the nail on the head,Idioms y Expresiones,Dar en el clavo
To play devil's advocate,Idioms y Expresiones,Hacer de abogado del diablo
To sit on the fence,Idioms y Expresiones,Mantenerse neutral / Indeciso
To jump the gun,Idioms y Expresiones,Precipitarse / Adelantarse
A drop in the ocean,Idioms y Expresiones,Una gota en el vaso (insignificante)
To bite the bullet,Idioms y Expresiones,Hacer de tripas corazón / Afrontar algo difícil
Paradigm,Sustantivos (Nouns),Paradigma
Nuance,Sustantivos (Nouns),Matiz
Dichotomy,Sustantivos (Nouns),Dicotomía
Hypothesis,Sustantivos (Nouns),Hipótesis
Framework,Sustantivos (Nouns),Marco de trabajo / Estructura
Catalyst,Sustantivos (Nouns),Catalizador
Consensus,Sustantivos (Nouns),Consenso
Discrepancy,Sustantivos (Nouns),Discrepancia
Prerequisite,Sustantivos (Nouns),Prerrequisito
Anomaly,Sustantivos (Nouns),Anomalía
Trajectory,Sustantivos (Nouns),Trayectoria
Implication,Sustantivos (Nouns),Implicación
Ramification,Sustantivos (Nouns),Ramificación / Consecuencia
Benchmark,Sustantivos (Nouns),Punto de referencia
Status quo,Sustantivos (Nouns),Estado actual de las cosas
Acquisition,Sustantivos (Nouns),Adquisición
Viability,Sustantivos (Nouns),Viabilidad
Endeavor,Sustantivos (Nouns),Esfuerzo / Empresa
Paradox,Sustantivos (Nouns),Paradoja
Notion,Sustantivos (Nouns),Noción / Idea
Consequently,Conectores (Connectors),En consecuencia
Furthermore,Conectores (Connectors),Además / Es más
Nevertheless,Conectores (Connectors),Sin embargo / No obstante
Whereas,Conectores (Connectors),Mientras que
Hence,Conectores (Connectors),Por lo tanto / De ahí que
Conversely,Conectores (Connectors),A la inversa / Por el contrario
Likewise,Conectores (Connectors),Igualmente / Asimismo
Notwithstanding,Conectores (Connectors),A pesar de
Insofar as,Conectores (Connectors),En la medida en que
Albeit,Conectores (Connectors),Aunque / Bien que
Quintessential,Adjetivos (Adjectives),Quintaesencial / El ejemplo perfecto
Egregious,Adjetivos (Adjectives),Atroz / Indignante (un error grave)
Salient,Adjetivos (Adjectives),Sobresaliente / Prominente
Inexorable,Adjetivos (Adjectives),Inexorable / Imparable
Ostensible,Adjetivos (Adjectives),Aparente / Supuesto
Idiosyncratic,Adjetivos (Adjectives),Idiosincrásico / Peculiar
Ameliorate,Verbos (Verbs),Mejorar / Mitigar (una mala situación)
Elucidate,Verbos (Verbs),Elucidar / Esclarecer / Explicar
Juxtapose,Verbos (Verbs),Yuxtaponer / Poner lado a lado para contrastar
Vindicate,Verbos (Verbs),Justificar / Dar la razón / Exculpar
Ostracize,Verbos (Verbs),Ostracizar / Excluir (a alguien de un grupo)
Encompass,Verbos (Verbs),Abarcar / Englobar
Resort to,Phrasal Verbs (Avanzados),Recurrir a (como última opción negativa)
Dawn on,Phrasal Verbs (Avanzados),Darse cuenta de repente (Ej. It dawned on me)
Iron out,Phrasal Verbs (Avanzados),Resolver / Limar asperezas (detalles o problemas)
Fall back on,Phrasal Verbs (Avanzados),Apoyarse en / Recurrir a (como Plan B)
Brush up on,Phrasal Verbs (Avanzados),Repasar / Refrescar la memoria (un tema)
To turn a blind eye,Idioms y Expresiones,Hacer la vista gorda / Ignorar a propósito
A catch-22 situation,Idioms y Expresiones,Un callejón sin salida / Situación paradójica sin solución
To read between the lines,Idioms y Expresiones,Leer entre líneas
To play it by ear,Idioms y Expresiones,Improvisar / Decidir sobre la marcha
To beat around the bush,Idioms y Expresiones,Andarse por las ramas / Evitar el tema principal
Conundrum,Sustantivos (Nouns),Acertijo / Dilema muy complejo
Panacea,Sustantivos (Nouns),Panacea / Solución mágica para todo
Epitome,Sustantivos (Nouns),Epítome / El mejor ejemplo de algo
Preponderance,Sustantivos (Nouns),Preponderancia / Mayoría o predominio
Onslaught,Sustantivos (Nouns),Ataque feroz / Avalancha (de críticas o trabajo)
Myriad,Sustantivos (Nouns),Miríada / Una cantidad innumerable
By no means,Conectores (Connectors),De ninguna manera / En absoluto
In all likelihood,Conectores (Connectors),Con toda probabilidad
Be that as it may,Conectores (Connectors),Sea como fuere / A pesar de eso
For all intents and purposes,Conectores (Connectors),A todos los efectos prácticos
By virtue of,Conectores (Connectors),En virtud de / Por medio de
